NAMA PARTAI POLITIK,NAMA CALON LEGESLATIF,JENIS KELAMIN,KECAMATAN,NO.URUT PARPOL,SUARA SAH PARTAI,JUML.PEROLEHAN KURSI,DAERAH PEMILIHAN,NO.URUT CALEG,SUARA SAH CALEG,TERPILIH ATAU TIDAK
PARTAI MATAHARI BANGSA,BARIROH,P,ADIWERNA,18,2570,0,5,2,230,TIDAK
PARTAI PENEGAK DEMOKRASI INDONESIA,SETO HANDOKO DWI SAPUTRO,L,SLAWI,19,473,0,1,1,112,TIDAK
PARTAI PENEGAK DEMOKRASI INDONESIA,DEWI NURLAELA SARI WIDIASTUTI,P,SLAWI,19,473,0,2,1,20,TIDAK
PARTAI PENEGAK DEMOKRASI INDONESIA,SUKMAWATI PUJI KATIKA,P,SLAWI,19,473,0,5,1,46,TIDAK
PARTAI DEMOKRASI KEBANGSAAN,SURYANTO,L,DUKUHWARU,20,322,0,1,1,118,TIDAK
PARTAI DEMOKRASI KEBANGSAAN,"MULYONO,SPd",L,SURODADI,20,322,0,6,1,78,TIDAK
PARTAI PELOPOR,"UNTORO SULAIMAN,SH",L,SLAWI,22,56,0,2,1,11,TIDAK
PARTAI GOLONGAN KARYA,"M KHUZAENI,SE,SH",L,LEBAKSIU,23,57712,6,1,1,2871,YA
PARTAI GOLONGAN KARYA,TRESNI MARYANA,P,LEBAKSIU,23,57712,6,1,2,1606,TIDAK
PARTAI GOLONGAN KARYA,SANURI,L,LEBAKSIU,23,57712,6,1,3,1118,TIDAK
PARTAI GOLONGAN KARYA,"Drs. H. MARZOEKI SOERADIDJAJA, SH, Msi",L,SLAWI,23,57712,6,1,4,1042,TIDAK
PARTAI GOLONGAN KARYA,"WIHARSIH,SH",P,SLAWI,23,57712,6,1,5,2138,TIDAK
PARTAI GOLONGAN KARYA,A.  HEMIN,L,JATIRAWA,23,57712,6,2,1,1000,TIDAK
PARTAI GOLONGAN KARYA,ABDUL KODIR,L,PANGKAH,23,57712,6,2,2,348,TIDAK
PARTAI GOLONGAN KARYA,"Hj. SUGIHARTI,.SH",P,PANGKAH,23,57712,6,2,3,1652,TIDAK
PARTAI GOLONGAN KARYA,ELING SUSILO,L,PANGKAH,23,57712,6,2,4,790,TIDAK
PARTAI GOLONGAN KARYA,"SURURI,H.SHI",L,TARUB,23,57712,6,2,5,2389,TIDAK
PARTAI GOLONGAN KARYA,KETI KULMUBAROK,P,KEDUNGBANTENG,23,57712,6,2,6,425,TIDAK
PARTAI GOLONGAN KARYA,"PRAYITNO,SH",L,PANGKAH,23,57712,6,2,7,3424,YA
PARTAI GOLONGAN KARYA,"MUARIS,SH",L,BOJONG,23,57712,6,3,1,2505,YA
PARTAI GOLONGAN KARYA,NURIDIN,L,BUMIJAWA,23,57712,6,3,2,1832,TIDAK
PARTAI GOLONGAN KARYA,SRI SULASMI,P,BOJONG,23,57712,6,3,3,675,TIDAK
PARTAI GOLONGAN KARYA,BUSAERI,L,JATINEGARA,23,57712,6,3,4,1240,TIDAK
PARTAI GOLONGAN KARYA,HUMAM,L,BALAPULANG,23,57712,6,4,1,1405,TIDAK
PARTAI GOLONGAN KARYA,"SOLIKHIN, H, S.Ag",L,MARGASARI ,23,57712,6,4,2,1115,TIDAK
PARTAI GOLONGAN KARYA,AMIRANTI,P,BALAPULANG,23,57712,6,4,3,646,TIDAK
PARTAI GOLONGAN KARYA,"TEGUH SUDIRO,SE",L,BALAPULANG,23,57712,6,4,4,2021,YA
PARTAI GOLONGAN KARYA,KHAERI MASRUKHI,L,BALAPULANG,23,57712,6,4,5,675,TIDAK
PARTAI GOLONGAN KARYA,MARYONO,L,BALAPULANG,23,57712,6,4,6,492,TIDAK
PARTAI GOLONGAN KARYA,"TANUSI, H, SE",L,MARGASARI ,23,57712,6,4,7,499,TIDAK
PARTAI GOLONGAN KARYA,LISTIOWATI,P,MARGASARI ,23,57712,6,4,8,39,TIDAK
PARTAI GOLONGAN KARYA,KISWORO,L,PAGERBARANG,23,57712,6,4,9,138,TIDAK
PARTAI GOLONGAN KARYA,"SISWO, S.Pd",L,MARGASARI ,23,57712,6,4,10,618,TIDAK
PARTAI GOLONGAN KARYA,SUPARNO AP,L,SLAWI,23,57712,6,5,1,785,TIDAK
PARTAI GOLONGAN KARYA,"TANURI, HM",L,DUKUHTURI,23,57712,6,5,2,430,TIDAK
PARTAI GOLONGAN KARYA,"DIANE PRAMASHINTA,SH",P,TALANG,23,57712,6,5,3,639,TIDAK
PARTAI GOLONGAN KARYA,"UDIN ZAINUDIN,SH",L,TALANG,23,57712,6,5,4,2446,YA
PARTAI GOLONGAN KARYA,ALI ADJI,L,ADIWERNA,23,57712,6,5,5,423,TIDAK
PARTAI GOLONGAN KARYA,EKA AFNIATI,P,TALANG,23,57712,6,5,6,172,TIDAK
PARTAI GOLONGAN KARYA,"DULHADI, BA",L,TALANG,23,57712,6,5,7,660,TIDAK
PARTAI GOLONGAN KARYA,HARSOYO,L,ADIWERNA,23,57712,6,5,8,1924,TIDAK
PARTAI GOLONGAN KARYA,"DILLAH HIDAYAT,SIP",P,DUKUHTURI,23,57712,6,5,9,2064,TIDAK
PARTAI GOLONGAN KARYA,"AGUS TRIYONO, H, SP",L,KRAMAT,23,57712,6,6,1,1572,YA
PARTAI GOLONGAN KARYA,ROFI'I. BSC,L,WARUREJA,23,57712,6,6,2,1196,TIDAK
PARTAI GOLONGAN KARYA,RATNA RIYANTI,P,KRAMAT,23,57712,6,6,3,253,TIDAK
PARTAI GOLONGAN KARYA,"KHASANURI,SH.MM",L,WARUREJA,23,57712,6,6,4,1345,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,SUSNERI,L,LEBAKSIU,24,31288,3,1,1,1428,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,SITI CHOLISOH,P,BUMIJAWA,24,31288,3,1,2,433,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,SUBROTO,L,SLAWI,24,31288,3,1,3,97,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,EKO MAHENDRA,L,PANGKAH,24,31288,3,2,1,843,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,NOFAL SALEH,L,TARUB,24,31288,3,2,2,1994,YA
PARTAI PERSATUAN PEMBANGUNAN,MUFLIKHA,P,PANGKAH,24,31288,3,2,3,533,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,A.GUFRONI,L,PANGKAH,24,31288,3,2,4,1908,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,ALI GHOZI,L,PANGKAH,24,31288,3,2,5,198,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,NUR FASIKHA,P,BUMIJAWA,24,31288,3,3,1,2347,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,MASDAR HELMI,L,BOJONG,24,31288,3,3,2,1591,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,A. MUJAENI,L,JATINEGARA,24,31288,3,3,3,2555,YA
PARTAI PERSATUAN PEMBANGUNAN,AMRUL FAHMI,L,BUMIJAWA,24,31288,3,3,4,346,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,MUATIF,L,BUMIJAWA,24,31288,3,3,5,570,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,NUR ROKHMAH,P,BUMIJAWA,24,31288,3,3,6,655,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,ARIS HIMAWAN,L,BALAPULANG,24,31288,3,4,1,1126,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,"MA'MUN, SAg",L,BALAPULANG,24,31288,3,4,2,23,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,LAILATUL HASANAH,P,BALAPULANG,24,31288,3,4,3,91,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,ABDUL AFIF,L,BALAPULANG,24,31288,3,4,4,510,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,MAFRIKHA,P,BALAPULANG,24,31288,3,4,5,36,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,MUFASIRIN,L,TALANG,24,31288,3,5,1,1039,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,SACHORI,P,WARUREJA,24,31288,3,5,2,1837,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,MOH SUHARSO,L,WARUREJA,24,31288,3,5,3,1183,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,"AKHMAD TUBAGUS FAHMI,SH",L,WARUREJA,24,31288,3,6,1,1984,TIDAK
PARTAI PERSATUAN PEMBANGUNAN,"KUSTIKA DEWI RISTANTI,SE",P,WARUREJA,24,31288,3,6,2,193,TIDAK
PARTAI NASIONAL BENTENG KERAKYATAN INDONESIA,SISWANTO,L,KRAMAT,26,174,0,5,1,28,TIDAK
PARTAI NASIONAL BENTENG KERAKYATAN INDONESIA,BAMBANG HARJITO,L,KRAMAT,26,174,0,6,1,43,TIDAK
PARTAI BULAN BINTANG,N. TAUFIK. ABZ,L,SLAWI,27,5748,0,1,1,116,TIDAK
PARTAI BULAN BINTANG,BASUKI RAHMAT,L,PANGKAH,27,5748,0,2,1,1251,TIDAK
PARTAI BULAN BINTANG,"MUNTASIR, SE",L,TARUB,27,5748,0,2,2,2143,TIDAK
PARTAI BULAN BINTANG,AHMAD FARIKHI,L,BOJONG,27,5748,0,3,1,77,TIDAK
PARTAI BULAN BINTANG,EDI RISWANTO,L,MARGASARI ,27,5748,0,4,1,149,TIDAK
PARTAI BULAN BINTANG,"MOH.TAUFIK,SS",L,ADIWERNA,27,5748,0,5,1,147,TIDAK
PARTAI BULAN BINTANG,SISWOYO,L,PANGKAH,27,5748,0,6,1,82,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN," DAKIR, SH ",L, LEBAKSIU ,28,143817,13,1,1,2634,YA
PARTAI DEMOKRASI INDONESIA PERJUANGAN," TEGUH WIDIARSO, S.Kom ",L, SLAWI ,28,143817,13,1,2,2528,YA
PARTAI DEMOKRASI INDONESIA PERJUANGAN, SUHERLINA ,P, DUKUHWARU ,28,143817,13,1,3,1327,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, ROJAK ,L, SLAWI ,28,143817,13,1,4,2162,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, Ir. KAYA RIYADI ,L, DUKUHWARU ,28,143817,13,1,5,1130,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, MAESUROH ,P, LEBAKSIU ,28,143817,13,1,6,672,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, SURIPTO ,L, SLAWI ,28,143817,13,1,7,1782,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, SRI HONO WIHARTO ,P, LEBAKSIU ,28,143817,13,1,8,231,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, SRI MARHAENI RUDIATIN ,P, ADIWERNA ,28,143817,13,1,9,143,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, DAID ,L, DUKUHWARU ,28,143817,13,1,10,437,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, SLAMET ,L, KEDUNGBANTENG ,28,143817,13,2,1,2898,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, RASIKIN ,L, KEDUNGBANTENG ,28,143817,13,2,2,2931,YA
PARTAI DEMOKRASI INDONESIA PERJUANGAN, SUEMAH ,P, TARUB ,28,143817,13,2,3,1473,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, Drs. HM. JAHRI ,L, PANGKAH ,28,143817,13,2,4,1623,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, SANUSI ,L, TARUB ,28,143817,13,2,5,438,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, ROKHANI ,L, KEDUNGBANTENG ,28,143817,13,2,6,168,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, CAMALI ,L, PANGKAH ,28,143817,13,2,7,1669,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, AMIRUDIN WIAN ,L, PANGKAH ,28,143817,13,2,8,1579,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, MG. MARHAENISMANTO ,L, BUMIJAWA ,28,143817,13,3,1,7170,YA
PARTAI DEMOKRASI INDONESIA PERJUANGAN, BAMBANG ROMDHON IRAWANTO ,L, JATINEGARA ,28,143817,13,3,2,3099,YA
PARTAI DEMOKRASI INDONESIA PERJUANGAN, Dra. ARI SETYANING KARANAWATI ,P, BOJONG ,28,143817,13,3,3,347,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, SUGENG ,L, BUMIJAWA ,28,143817,13,3,4,188,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, EVA NURJANAH ,P, BUMIJAWA ,28,143817,13,3,5,2984,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN," ERRY SOEKARDI, S.IP ",L, WARUREJA ,28,143817,13,3,6,68,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, PUTRA FAJAR SUNJAYA ,L, KRAMAT ,28,143817,13,3,7,937,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, ROJIKIN AH ,L, BALAPULANG ,28,143817,13,4,1,9925,YA
PARTAI DEMOKRASI INDONESIA PERJUANGAN," SUHARGO, SH ",L, PAGERBARANG ,28,143817,13,4,2,1464,YA
PARTAI DEMOKRASI INDONESIA PERJUANGAN, MARHAMAH ,P, MARGASARI  ,28,143817,13,4,3,4320,YA
PARTAI DEMOKRASI INDONESIA PERJUANGAN, BAMBANG SUPRIYADI ,L, MARGASARI  ,28,143817,13,4,4,2391,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, SUGONO ,L, MARGASARI  ,28,143817,13,4,5,6372,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN," LILIS KHOTIMAH, S.Sos.I ",P, BALAPULANG ,28,143817,13,4,6,632,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, HARJO RASDI ,L, BALAPULANG ,28,143817,13,4,7,2173,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN," KHAERUDIN, S.Sos.I ",L, BALAPULANG ,28,143817,13,4,8,1,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, NOVALIA PUTRI ,P, BALAPULANG ,28,143817,13,4,9,27,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN," ANDIKA IFANANI ANUNGGAL, SH ",L, BALAPULANG ,28,143817,13,4,10,37,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN," H. SAMSUL MA'ARIF, SH ",L, ADIWERNA ,28,143817,13,5,1,2083,YA
PARTAI DEMOKRASI INDONESIA PERJUANGAN, NURSIDIK ,L, ADIWERNA ,28,143817,13,5,2,3244,YA
PARTAI DEMOKRASI INDONESIA PERJUANGAN," LILI MARDIANI, SH ",P, DUKUHTURI ,28,143817,13,5,3,0,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN," NUR MEGARANI, A.Md. ",P, TALANG ,28,143817,13,5,4,638,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, KARSO ,L, TALANG ,28,143817,13,5,5,481,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, FIRDAUS ROSYADI ,L, DUKUHTURI ,28,143817,13,5,6,1962,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN," OKTOFIANA FITRI, ST ",P, ADIWERNA ,28,143817,13,5,7,1418,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, RUSLANI ,L, DUKUHTURI ,28,143817,13,5,8,257,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN," NOPI SUGIYANTO, A.Md, S.Si ",L, DUKUHTURI ,28,143817,13,5,9,1643,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, KUSWANTO ,L, DUKUHTURI ,28,143817,13,5,10,1875,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN," TRI LEKSONO, A.Md. ",L, WARUREJA ,28,143817,13,6,1,5418,YA
PARTAI DEMOKRASI INDONESIA PERJUANGAN, INDRA SUTRISNO ,L, KRAMAT ,28,143817,13,6,2,2759,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, SARIPAH ,P, WARUREJA ,28,143817,13,6,3,2125,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, Drs. WARGONO ,L, KRAMAT ,28,143817,13,6,4,1889,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, KASMUI ,L, SURODADI ,28,143817,13,6,5,460,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, USWATUN KHASANAH ,P, KRAMAT ,28,143817,13,6,6,1472,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, RUSTOYO ,L, SURODADI ,28,143817,13,6,7,4550,YA
PARTAI DEMOKRASI INDONESIA PERJUANGAN," SUMADIYO, A.Md. ",L, SURODADI ,28,143817,13,6,8,2110,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, H. BUJI WALUYO ,L, WARUREJA ,28,143817,13,6,9,5134,YA
PARTAI DEMOKRASI INDONESIA PERJUANGAN, ARY KRISTIAWAN ,L, KRAMAT ,28,143817,13,6,10,488,TIDAK
PARTAI DEMOKRASI INDONESIA PERJUANGAN, YANI RATNAWATI ,P, SLAWI ,28,143817,13,6,11,148,TIDAK
PARTAI BINTANG REFORMASI,EDI SUSWANTO,L, SLAWI ,29,6237,0,1,1,89,TIDAK
PARTAI BINTANG REFORMASI,"MOHAMAD IDRIS ALI AKBAR, SH",L,TARUB,29,6237,0,2,1,277,TIDAK
PARTAI BINTANG REFORMASI,"MUSBIKHIN, SH",L,BALAPULANG,29,6237,0,3,1,182,TIDAK
PARTAI BINTANG REFORMASI,TOID DARMOWIYOTO,L,BALAPULANG,29,6237,0,4,1,52,TIDAK
PARTAI BINTANG REFORMASI,"H. LULUS UJIANTO, BA",L,BALAPULANG,29,6237,0,4,2,114,TIDAK
PARTAI BINTANG REFORMASI,"WIJAYANTI, SE",P,BALAPULANG,29,6237,0,4,3,117,TIDAK
PARTAI BINTANG REFORMASI,LATIFAH,P,WARUREJA,29,6237,0,4,4,10,TIDAK
PARTAI BINTANG REFORMASI,"RAHARJO, S.Pd",L,BOJONG,29,6237,0,5,1,117,TIDAK
PARTAI BINTANG REFORMASI,"RINO HADIYANTO, A.Md",L,KRAMAT,29,6237,0,6,1,2735,TIDAK
PARTAI BINTANG REFORMASI,RINI PANETI,P,KRAMAT,29,6237,0,6,2,817,TIDAK
PARTAI PATRIOT,M ABDULLAH,L,LEBAKSIU,30,167,0,1,1,113,TIDAK
PARTAI DEMOKRAT,NICO PRAKOSO,L,SLAWI,31,58683,6,1,1,2152,YA
PARTAI DEMOKRAT,KAERI,L,SLAWI,31,58683,6,1,2,972,TIDAK
PARTAI DEMOKRAT,BAGUS DICKY SONJAYA,L,SLAWI,31,58683,6,1,3,1666,TIDAK
PARTAI DEMOKRAT,Dra. RUMIYATI DP,P,SLAWI,31,58683,6,1,4,594,TIDAK
PARTAI DEMOKRAT,Drs. SUKHAEMI ANNUR,L,MARGASARI,31,58683,6,2,1,1010,TIDAK
PARTAI DEMOKRAT,"AHMAD FATIKHUDIN, S.Ag",L,TARUB,31,58683,6,2,2,3959,YA
PARTAI DEMOKRAT,LAELIYAH,P,TARUB,31,58683,6,2,3,770,TIDAK
PARTAI DEMOKRAT,ABDUL LATIF,L,TARUB,31,58683,6,2,4,1185,TIDAK
PARTAI DEMOKRAT,"Hj. AYU PALARETIN, S.Sos",P,SLAWI,31,58683,6,3,1,2543,YA
PARTAI DEMOKRAT,TAUFIKIN,L,DUKUHTURI,31,58683,6,3,2,370,TIDAK
PARTAI DEMOKRAT,TEGUH MULYADI,L,BUMIJAWA,31,58683,6,3,3,815,TIDAK
PARTAI DEMOKRAT,"SRIYANTO, S.Si",L,MARGASARI,31,58683,6,4,1,3107,YA
PARTAI DEMOKRAT,ROKHANI,P,PAGERBARANG,31,58683,6,4,2,761,TIDAK
PARTAI DEMOKRAT,FUAD HASBULLOH,L,MARGASARI,31,58683,6,4,3,742,TIDAK
PARTAI DEMOKRAT,"CHANDRI SIMBOLON, SE",L,PANGKAH,31,58683,6,4,4,448,TIDAK
PARTAI DEMOKRAT,"SURAJI, SH",L,MARGASARI,31,58683,6,4,5,687,TIDAK
PARTAI DEMOKRAT,E. RISA HANDAYANI,P,SLAWI,31,58683,6,5,1,2445,TIDAK
PARTAI DEMOKRAT,"AGUS SULARDI, Amd",L,KRAMAT,31,58683,6,5,2,1332,TIDAK
PARTAI DEMOKRAT,SITI AELIYAH,L,TALANG,31,58683,6,5,3,1589,TIDAK
PARTAI DEMOKRAT,SAGIMAN ARIES TRIADY,L,SLAWI,31,58683,6,5,4,678,TIDAK
PARTAI DEMOKRAT,"M. ZIMAMUL KHAQ, S.Pd.I",L,LEBAKSIU,31,58683,6,5,5,2776,YA
PARTAI DEMOKRAT,"RUDY FATKHURIYANTO, SIP",L,KRAMAT,31,58683,6,6,1,2445,YA
PARTAI DEMOKRAT,"ALINA TIS'A PUSPITA, SH",P,KRAMAT,31,58683,6,6,2,1105,TIDAK
PARTAI INDONESIA SEJAHTERA,IRWAN JAELANI KURNIAWAN,L,DUKUHWARU,33,789,0,1,1,202,TIDAK
PARTAI INDONESIA SEJAHTERA,"WINARNO, ST",L,SLAWI,33,789,0,1,2,56,TIDAK
PARTAI INDONESIA SEJAHTERA,"MOHAMAD KHOLIK, SH",L,ADIWERNA,33,789,0,3,1,32,TIDAK
PARTAI INDONESIA SEJAHTERA,"JUSRI SIHOMBING, S.Si",L,ADIWERNA,33,789,0,5,1,82,TIDAK
PARTAI INDONESIA SEJAHTERA,"NILA PETRI NOPANI,S.Farm",P,ADIWERNA,33,789,0,5,2,48,TIDAK
PARTAI INDONESIA SEJAHTERA,TARJONO,L,ADIWERNA,33,789,0,5,3,101,TIDAK
PARTAI KEBANGKITAN INDONESIA,Drs.H.MUHAMMAD SALEH,L,LEBAKSIU,34,14308,0,1,1,1531,TIDAK
PARTAI KEBANGKITAN INDONESIA,Hj. SOFATI,P,SLAWI,34,14308,0,1,2,79,TIDAK
PARTAI KEBANGKITAN INDONESIA,IKOH AGUS GAYO,L,LEBAKSIU,34,14308,0,1,3,82,TIDAK
PARTAI KEBANGKITAN INDONESIA,Drs.ALI IMRON,L,TARUB,34,14308,0,2,1,1669,TIDAK
PARTAI KEBANGKITAN INDONESIA,HJ SITI WAKHIDAH,P,PANGKAH,34,14308,0,2,2,125,TIDAK
PARTAI KEBANGKITAN INDONESIA,"H.ZAINAL ABIDIN ISHAK,SH",L,TARUB,34,14308,0,2,3,2568,TIDAK
PARTAI KEBANGKITAN INDONESIA,"TARNOTO,S.Sos",L,KEDUNGBANTENG,34,14308,0,2,4,469,TIDAK
PARTAI KEBANGKITAN INDONESIA,"BALYA UMAR ,S.Pdi",L,PANGKAH,34,14308,0,2,5,303,TIDAK
PARTAI KEBANGKITAN INDONESIA,"HJ.FASIKHA,HB",P,TARUB,34,14308,0,2,6,186,TIDAK
PARTAI KEBANGKITAN INDONESIA,"MUHAMMAD SUROSA,S.Ag",L,BUMIJAWA,34,14308,0,3,1,339,TIDAK
PARTAI KEBANGKITAN INDONESIA,"FATKHUDIN,SPdi",L,BUMIJAWA,34,14308,0,3,2,365,TIDAK
PARTAI KEBANGKITAN INDONESIA,"SITI FATIMAH,SPDi",P,JATINEGARA,34,14308,0,3,3,756,TIDAK
PARTAI KEBANGKITAN INDONESIA,M.SISWORO HARTONO,L,BALAPULANG,34,14308,0,4,1,189,TIDAK
PARTAI KEBANGKITAN INDONESIA,ROHMAN,L,MARGASARI,34,14308,0,4,2,168,TIDAK
PARTAI KEBANGKITAN INDONESIA,NURHASIM,L,BALAPULANG,34,14308,0,4,3,26,TIDAK
PARTAI KEBANGKITAN INDONESIA,CASWIKA,L,ADIWERNA,34,14308,0,5,1,1076,TIDAK
PARTAI KEBANGKITAN INDONESIA,H AGUS AMIR,L,ADIWERNA,34,14308,0,5,2,642,TIDAK
PARTAI KEBANGKITAN INDONESIA,YUSRI AMRI,L,ADIWERNA,34,14308,0,5,3,709,TIDAK
PARTAI KEBANGKITAN INDONESIA,WAS'UD,L,KRAMAT,34,14308,0,6,1,282,TIDAK
PARTAI KEBANGKITAN INDONESIA,"NURSALIM,S.Ag",L,KRAMAT,34,14308,0,6,2,233,TIDAK
PARTAI KEBANGKITAN INDONESIA,"Hj.SITI ULWIYATUL WAFIROH,SAg",P,LEBAKSIU,34,14308,0,6,3,36,TIDAK
PARTAI PERSATUAN NAHDLATUL UMMAH INDONESIA,ULFATUZ ZAKIYAH,P,ADIWERNA,42,634,0,2,1,49,TIDAK
PARTAI PERSATUAN NAHDLATUL UMMAH INDONESIA,YUSUF RIFA'I,L,TALANG,42,634,0,5,1,368,TIDAK
PARTAI BURUH,ADIKIN,L,PANGKAH,44,11003,1,2,1,559,TIDAK
PARTAI BURUH,DAHURI,L,KRAMAT,44,11003,1,6,1,410,TIDAK
PARTAI BURUH,ADY KUNTORO,L,SURODADI,44,11003,1,6,2,4680,YA
PARTAI BURUH,NIASRINI,P,KRAMAT,44,11003,1,6,3,123,TIDAK
PARTAI BURUH,YUDA KURNIAWAN,L,KRAMAT,44,11003,1,6,4,402,TIDAK
PARTAI BURUH,WAHYUDIN,L,KRAMAT,44,11003,1,6,5,3065,TIDAK
PARTAI BURUH,SITI JURIYAH,P,KRAMAT,44,11003,1,6,6,72,TIDAK
PARTAI BURUH,MOHAMAD SOLIKHUN,L,KRAMAT,44,11003,1,6,7,52,TIDAK
PARTAI BURUH,MEGENG,L,KRAMAT,44,11003,1,6,8,397,TIDAK
